hhmemberid,seq_num,income,cfps2016eduy_im,age,gender,urban16,provcd16,ethnic,married,party,employ,postsecondary,seniorsecondary,juniorsecondary,primary,illiterate,lninc,exper,exper2,area
130173103,130173,39400,,38,1,1,13,0,1,0,1,0,1,0,0,0,10.581521,,,1
130175102,130175,24500,12,31,1,1,13,0,1,1,1,0,1,0,0,0,10.106428,13,169,1
130175103,130175,0,9,28,0,1,13,0,1,0,0,0,0,1,0,0,,13,169,1
130175105,130175,23000,9,27,0,1,13,0,1,0,1,0,0,1,0,0,10.043249,12,144,1
130190102,130190,17040,9,61,1,1,13,0,1,0,1,0,0,1,0,0,9.7433186,46,2116,1
130193102,130193,24000,9,57,1,1,13,0,1,0,1,0,0,1,0,0,10.085809,42,1764,1
130197102,130197,70000,15,45,1,1,13,0,1,1,1,1,0,0,0,0,11.156251,24,576,1
130206103,130206,40000,16,27,0,1,13,0,0,0,1,1,0,0,0,0,10.596635,5,25,1
130207102,130207,30200,15,38,1,1,13,0,1,0,1,1,0,0,0,0,10.315598,17,289,1
130207104,130207,0,6,64,0,1,13,0,1,0,1,0,0,0,1,0,,52,2704,1
130208108,130208,21600,12,48,0,1,13,0,1,0,1,0,1,0,0,0,9.9804487,30,900,1
130210102,130210,0,6,49,1,1,13,0,1,0,1,0,0,0,1,0,,37,1369,1
130210431,130210,10800,9,26,0,1,13,0,1,0,0,0,0,1,0,0,9.2873011,11,121,1
130211102,130211,0,12,42,1,1,13,0,1,0,1,0,1,0,0,0,,24,576,1
130211104,130211,30000,12,44,0,1,13,0,1,0,1,0,1,0,0,0,10.308952,26,676,1
130213104,903123,0,9,37,1,1,13,0,1,0,1,0,0,1,0,0,,22,484,1
130213107,903123,6000,12,35,0,1,13,0,1,0,1,0,0,1,0,0,8.6995144,17,289,1
130214102,130214,0,9,49,1,1,13,0,1,0,1,0,0,0,1,0,,34,1156,1
130222101,130222,30000,9,47,0,1,13,0,1,0,1,0,0,1,0,0,10.308952,32,1024,1
130222104,130222,4000,12,17,0,1,13,0,0,0,1,0,0,0,1,0,8.2940493,-1,1,1
130226101,130226,0,12,44,1,1,13,0,1,0,1,0,1,0,0,0,,26,676,1
130227104,130227,5400,12,19,0,1,13,0,0,0,1,0,0,1,0,0,8.5941544,1,1,1
130231101,130231,20260,9,51,0,1,13,0,1,0,1,0,0,1,0,0,9.9164038,36,1296,1
130255103,130255,20000,15,33,0,1,13,0,1,0,1,1,0,0,0,0,9.9034872,12,144,1
130261101,130261,0,12,49,0,1,13,0,1,0,1,0,1,0,0,0,,31,961,1
130268103,117227,80000,19,30,0,0,13,0,1,0,1,1,0,0,0,0,11.289782,5,25,1
130277101,130277,0,12,61,1,1,13,0,1,0,1,0,1,0,0,0,,43,1849,1
130277102,296369,0,9,38,1,1,13,0,1,0,1,0,0,1,0,0,,23,529,1
130289101,130289,40000,,37,1,0,13,0,1,0,1,0,0,0,1,0,10.596635,,,1
130292104,201229,95000,,31,1,0,12,0,1,0,1,0,0,1,0,0,11.461632,,,1
130293101,130293,30000,7,35,1,1,13,0,1,0,1,0,0,0,1,0,10.308952,22,484,1
130293102,130293,0,7,36,0,1,13,0,1,0,1,0,0,0,1,0,,23,529,1
130294101,130294,36000,6,51,0,1,13,0,1,0,1,0,0,0,0,1,10.491274,39,1521,1
130294431,130294,3000,12,26,0,1,13,0,1,0,0,0,1,0,0,0,8.0063677,8,64,1
